Gutter;;;;;;Øvelse;Jenter;;;;;
Klasse;Antall;Siste;Første;Avstand;Høyde;;Høyde;Avstand;Første ;Siste;Antall;Klasse
Rekrutt 6-8;;;;6.5;Valgfri;60mH;Valgfri;6.5;;;;Rekrutt 6-8
Rekrutt 9;6;16.5;11;6.5;68;60mH;68;6.5;11;16.5;6;Rekrutt 9
10;6;16.5;11;6.5;68;60mH;68;6.5;11;16.5;6;10
11;6;16.5;11;6.5;68;60mH;68;6.5;11;16.5;6;11
12;6;14;11;7;76.2;60mH;68;7;11;14;6;12
13;6;11;11.5;7.5;76.2;60mH;68;7.5;11.5;11;6;13
14;5;16;12;8;84;60mH;76.2;7.5;11.5;11;6;14
15;5;13;13;8.5;84;60mH;76.2;8;12;16;5;15
16;5;13;13;8.5;91.4;60mH;76.2;8;12;16;5;16
17;5;9.72;13.72;9.14;91.4;60mH;76.2;8.5;13;13;5;17
18-19;5;9.72;13.72;9.14;100;60mH;84;8.5;13;13;5;18-19
20-22;5;9.72;13.72;9.14;106.7;60mH;84;8.5;13;13;5;20-22
Senior;5;9.72;13.72;9.14;106.7;60mH;84;8.5;13;13;5;Senior 
;;;;;;;;;;;;