Øvelsesutvalg for jenter;6-8 (rekrutt);9;10;11;12;13;14;15;16;17;Junior 18-19 (U20);Junior 20-22 (U23);Senior;
40m;X;X;X;X;X;X;X;X;X;X;X;X;X;
60m;X;X;X;X;X;X;X;X;X;X;X;X;X;
80m;;X;X;X;X;X;X;X;X;X;X;X;X;
100m;;;;;X;X;X;X;X;X;X;X;X;
150m;;;;;X;X;X;X;X;X;X;X;X;
200m;;;;X;X;X;X;X;X;X;X;X;X;
300m;;;;;X;X;X;X;X;X;X;X;X;
400m (fra strek);X;X;X;X;X;X;;;;;;;;
400m (delte baner);;;;;;;X;X;X;X;X;X;X;
600m;;;X;X;X;X;X;X;X;X;X;X;X;
800m;;;;;;X;X;X;X;X;X;X;X;
1000m;;;;;;X;X;X;X;X;X;X;X;
1500m;;;;;X;X;X;X;X;X;X;X;X;
1609m (1 Mile);;;;;;;;;;;X;X;X;
2000m;;;;;;;X;X;X;X;X;X;X;
3000m;;;;;;;;;X;X;X;X;X;
3218m (2 Mile);;;;;;;;;;;X;X;X;
5000m;;;;;;;;;;X;X;X;X;
10000m;;;;;;;;;;;X;X;X;
200-400m hinder (20cm);X;X;X;;;;;;;;;;;
800m hinder (50cm);;;;X;X;;;;;;;;;
1500m hinder (76,2);;;;;;X;X;X;X;;;;;
2000m hinder (76,2);;;;;;;;;X;X;X;X;X;
3000m hinder (76,2);;;;;;;;;;;X;X;X;
Kappgang 400-800m;X;X;;;;;;;;;;;;
Kappgang 600-1000m;;;X;;;;;;;;;;;
Kappgang 1000m;;;;X;X;X;X;X;X;X;X;X;X;
Kappgang 1500m;;;;X;X;X;X;X;X;X;X;X;X;
Kappgang 2000m;;;;;;X;X;X;X;X;X;X;X;
Kappgang 3000m;;;;;;;X;X;X;X;X;X;X;
Kappgang 5000m;;;;;;;;X;X;X;X;X;X;
Kappgang 10000m;;;;;;;;;X;X;X;X;X;
60mhk;opptil 60;68;68;68;68;68;76.2;;;;;;;
60m hk (68)*;;;X;X;X;X;;;;;;;;
60m hk (76,2)*;;;;;;X;X;;;;;;;
80m hk;;;;;;;;76.2;76.2;;;;;
80m hk (76,2)*;;;;;;;;X;X;;;;;
100m hk;;;;;;;;;76.2;76.2;83.8;83.8;83.8;
100m hk (76,2)*;;;;;;;;;X;X;;;;
100m hk (84)*;;;;;;;;;;;X;X;X;
200m hk;;;;68;68;68;76.2;76.2;76.2;76.2;76.2;76.2;76.2;
200m hk (68)*;;;;X;X;X;;;;;;;;
200m hk (76,2)*;;;;;;;X;X;X;X;X;X;X;
300m hk;;;;;;;76.2;76.2;76.2;76.2;76.2;76.2;76.2;
300m hk (76,2)*;;;;;;;X;X;X;X;X;x;x;
400m hk;;;;;;;;;76.2;76.2;76.2;76.2;76.2;
400m hk (76,2)*;;;;;;;;;x;x;X;X;X;
Høyde;X;X;X;X;X;X;X;X;X;X;X;X;X;
Høyde uten tilløp;X;X;X;X;X;X;X;X;X;X;X;X;X;
Lengde ;Xs;Xs;Xs;Xs;Xs;Xs;X;X;X;X;X;X;X;
Lengde uten tilløp;X;X;X;X;X;X;X;X;X;X;X;X;X;
Stav;X;X;X;X;X;X;X;X;X;X;X;X;X;
Tresteg;;Xs;Xs;Xs;Xs;Xs;X;X;X;X;X;X;X;
Kule;2;2;2;2;2;2;3;3;3;3;4;4;4;
Kule 2kg;;;X;X;X;X;;;;;;;;
Kule 3kg;;;;;;;X;X;X;X;;;;
Kule 4kg;;;;;;;;;;;X;X;X;
Diskos;;0.6;0,6;0,6;0,6;0,6;0,75;0,75;1;1;1;1;1;
Diskos 0,6kg;;;X;X;X;X;;;;;;;;
Diskos 0,75kg;;;;;;;X;X;;;;;;
Diskos 1kg;;;;;;;;;X;X;X;X;X;
Slegge;;2/110;2/110;2/110;2/110;2/110;3/119,5;3/119,5;3/119,5;3/119,5;4/119,5;4/119,5;4/119,5;
Slegge 2kg/110cm;;;X;X;X;X;;;;;;;;
Slegge 3kg/119,5cm;;;;;;;X;X;X;X;;;;
Slegge 4kg/119,5cm;;;;;;;;;;;X;X;X;
Spyd;;400g;400g;400g;400g;400g;400g;500g;500g;500g;600g;600g;600g;
Spyd 400g;;;X;X;X;X;X;;;;;;;
Spyd 500g;;;;;;;;X;X;X;;;;
Spyd 600g;;;;;;;;;;;X;X;X;
Liten ball 150g;X;X;X;X;X;X;X;X;X;X;X;X;X;
Slengball 1kg (kort reim);X;X;X;X;X;X;X;X;X;X;X;X;X;
Mangekamp;X;X;X;X;X;X;X;X;X;X;X;X;X;Se eget skjema for øvelser
s=satssone 50cm før satslinjen;;;;;;;;;;;;;;
*Se målskjema for hekk på eget ark;;;;;;;;;;;;;;