Løp utenfor bane;0-5*;6-9;10;11;12;13;14;15;16;17;Junior 18-19;Junior 20-22;Senior
T.o.m. 500m;X;X;X;X;X;X;X;X;X;X;X;X;X
T.o.m. 1km;;X;X;X;X;X;X;X;X;X;X;X;X
T.o.m. 3km;;;X;X;X;X;X;X;X;X;X;X;X
T.o.m. 5km;;;;X;X;X;X;X;X;X;X;X;X
T.o.m. 10km;;;;;;X;X;X;X;X;X;X;X
T.o.m. halvmaraton;;;;;;;;X;X;X;X;X;X
Lenger enn halvmaraton;;;;;;;;;;;X;X;X
Distansene gjelder uavhengig av gateløp, terrengløp, motbakkeløp etc., men det oppfordres til å arrangere kortere distanser for barn enn voksne på alle type løp;;;;;;;;;;;;;
*Barneløp (ingen tidtagning) ;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kappgang utenfor bane;  ; ;    ;11;12;13;14;15;16;17;Junior 18-19;Junior 20-22;Senior
1km;;;;X;X;X;X;X;X;X;X;X;X
2km;;;;;;X;X;X;X;X;X;X;X
3km;;;;;;X;X;X;X;X;X;X;X
5km;;;;;;;X;X;X;X;X;X;X
10km;;;;;;;;X;X;X;X;X;X
15km;;;;;;;;;;;X;X;X
20km;;;;;;;;;;;X;X;X
35km;;;;;;;;;;;;;X